var_name,value,margin
"ta[(:ppd,)]",0.0,.
"ta[(:res,)]",0.0,.
"ta[(:com,)]",0.0,.
"ta[(:amb,)]",0.0,.
"ta[(:fbp,)]",0.0,.
"ta[(:rec,)]",0.0,.
"ta[(:con,)]",0.0,.
"ta[(:agr,)]",0.0,.
"ta[(:eec,)]",0.0,.
"ta[(:fnd,)]",0.0,.
"ta[(:pub,)]",0.0,.
"ta[(:hou,)]",0.0,.
"ta[(:fbt,)]",0.0,.
"ta[(:ins,)]",0.0,.
"ta[(:tex,)]",0.0,.
"ta[(:leg,)]",0.0,.
"ta[(:fen,)]",0.0,.
"ta[(:uti,)]",0.0,.
"ta[(:nmp,)]",0.0,.
"ta[(:brd,)]",0.0,.
"ta[(:bnk,)]",0.0,.
"ta[(:ore,)]",0.0,.
"ta[(:edu,)]",0.0,.
"ta[(:ote,)]",0.0,.
"ta[(:man,)]",0.0,.
"ta[(:mch,)]",0.0,.
"ta[(:dat,)]",0.0,.
"ta[(:amd,)]",0.0,.
"ta[(:oil,)]",0.0,.
"ta[(:hos,)]",0.0,.
"ta[(:rnt,)]",0.0,.
"ta[(:pla,)]",0.0,.
"ta[(:fof,)]",0.0,.
"ta[(:fin,)]",0.0,.
"ta[(:tsv,)]",0.0,.
"ta[(:nrs,)]",0.0,.
"ta[(:sec,)]",0.0,.
"ta[(:art,)]",0.0,.
"ta[(:mov,)]",0.0,.
"ta[(:fpd,)]",0.0,.
"ta[(:slg,)]",0.0,.
"ta[(:pri,)]",0.0,.
"ta[(:grd,)]",0.0,.
"ta[(:pip,)]",0.0,.
"ta[(:sle,)]",0.0,.
"ta[(:osv,)]",0.0,.
"ta[(:trn,)]",0.0,.
"ta[(:smn,)]",0.0,.
"ta[(:fmt,)]",0.0,.
"ta[(:pet,)]",0.0,.
"ta[(:mvt,)]",0.0,.
"ta[(:cep,)]",0.0,.
"ta[(:wst,)]",0.0,.
"ta[(:mot,)]",0.0,.
"ta[(:adm,)]",0.0,.
"ta[(:soc,)]",0.0,.
"ta[(:alt,)]",0.0,.
"ta[(:pmt,)]",0.0,.
"ta[(:trk,)]",0.0,.
"ta[(:fdd,)]",0.0,.
"ta[(:gmt,)]",0.0,.
"ta[(:wtt,)]",0.0,.
"ta[(:wpd,)]",0.0,.
"ta[(:wht,)]",0.0,.
